X(m),Y(m),Z(m),Distance_BS_1,RSSI,BER,PER,Throughput(Gbps)
36.5328,1.45649e-06,0.400003,16.8031,-69.8315,3.91786e-47,0,0
37.0248,1.47388e-06,0.400006,17.2874,-80.0156,8.04051e-06,0.00013668,0
37.5178,1.49125e-06,0.400001,17.7731,-68.0742,9.73415e-70,0,0
38.0103,1.50877e-06,0.400005,18.2588,-71.5503,2.71711e-32,0,0
38.5034,1.52624e-06,0.400004,18.7452,-74.1013,1.14821e-18,0,0
38.9959,1.54354e-06,0.400003,19.2316,-68.0475,3.71125e-70,0,0
39.4884,1.56095e-06,0.400006,19.7182,-72.4229,1.02112e-26,0,0
39.9804,1.57828e-06,0.400001,20.2046,-69.0098,1.4088e-56,0,0
40.4734,1.59581e-06,0.400005,20.6923,-71.8564,3.29426e-30,0,0
40.9674,1.6133e-06,0.400005,21.1812,-71.5419,2.37102e-32,0,0
41.4594,1.63058e-06,0.400002,21.6683,-71.2549,1.90802e-34,0,0
41.9524,1.64801e-06,0.400006,22.1567,-66.1316,5.28608e-108,0,0
42.4449,1.66535e-06,0.400002,22.6447,-75.971,1.14739e-12,1.95061e-11,0
42.9374,1.68286e-06,0.400005,23.133,-68.9791,5.76601e-57,0,0
43.4299,1.70029e-06,0.400005,23.6214,-74.7366,2.45304e-16,3.77476e-15,0
